word,freq
,
"('Are', 'you')",1
,
"('you', 'kidding')",1
,
"('kidding', 'me')",1
,
"('me', '')",150
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', 'Summermoon')",9
,
"('Summermoon', 'south')",1
,
"('south', 'has')",1
,
"('has', 'been')",19
,
"('been', 'my')",2
,
"('my', 'all')",1
,
"('all', 'time')",2
,
"('time', 'favorite')",1
,
"('favorite', 'coffee')",53
,
"('coffee', 'for')",9
,
"('for', 'years')",5
,
"('years', '')",14
,
"('', '')",9435
,
"('', 'and')",960
,
"('and', 'now')",7
,
"('now', 'they')",2
,
"('they', 'have')",107
,
"('have', 'a')",223
,
"('a', 'location')",2
,
"('location', 'right')",5
,
"('right', 'near')",2
,
"('near', 'my')",4
,
"('my', 'work')",6
,
"('work', '')",86
,
"('', 'I')",2231
,
"('I', 'am')",118
,
"('am', 'going')",2
,
"('going', 'to')",49
,
"('to', 'go')",117
,
"('go', 'broke')",1
,
"('broke', '')",1
,
"('', 'This')",227
,
"('This', 'place')",137
,
"('place', 'even')",1
,
"('even', 'has')",3
,
"('has', 'PARKING')",1
,
"('PARKING', '')",2
,
"('', 'Score')",2
,
"('Score', '')",2
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', 'Nice')",36
,
"('Nice', 'location')",1
,
"('location', '')",59
,
"('', 'nice')",17
,
"('nice', 'staff')",4
,
"('staff', '')",72
,
"('', 'nice')",17
,
"('nice', 'ambience')",3
,
"('ambience', '')",15
,
"('', '')",9435
,
"('', '')",9435
,
"('', 'if')",50
,
"('if', 'you')",214
,
"('you', 'have')",34
,
"('have', 'never')",11
,
"('never', 'tried')",3
,
"('tried', 'Summermoon')",1
,
"('Summermoon', '')",15
,
"('', 'there')",58
,
"('there', 'aren')",1
,
"('aren', 't')",22
,
"('t', 'any')",2
,
"('any', 'excuses')",1
,
"('excuses', '')",1
,
"('', 'This')",227
,
"('This', 'is')",115
,
"('is', 'the')",137
,
"('the', 'best')",193
,
"('best', 'tasting')",3
,
"('tasting', 'coffee')",3
,
"('coffee', 'hands')",1
,
"('hands', 'down')",17
,
"('down', '')",35
,
"('', 'Great')",135
,
"('Great', 'business')",1
,
"('business', '')",21
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('', '')",9435
,
"('Best', 'place')",5
,
"('place', 'on')",10
,
"('on', 'Burnet')",6
,
"('Burnet', 'for')",1
,
"('for', 'coffee')",38
,
"('coffee', '')",570
,
"('', 'Staff')",31
,
"('Staff', 'is')",11
,
"('is', 'super')",32
,
"('super', 'friendly')",40
,
"('friendly', 'and')",105
,
"('and', 'patient')",7
,
"('patient', 'no')",1
,
"('no', 'matter')",8
,
"('matter', 'how')",3
,
"('how', 'many')",7
,
"('many', 'people')",4
,
"('people', 'are')",15
,
"('are', 'around')",1
,
"('around', '')",37
,
"('', 'and')",960
,
"('and', 'the')",378
,
"('the', 'half')",24
,
"('half', 'moon')",19
,
"('moon', 'latte')",21
,
"('latte', 'is')",16
,
"('is', 'to')",15
,
"('to', 'die')",13
,
"('die', 'for')",13
,
"('for', '')",61
,
"('', 'Honestly')",4
,
"('Honestly', 'some')",1
,
"('some', 'of')",59
,
"('of', 'the')",422
,
"('the', 'best')",193
,
"('best', 'coffee')",44
,
"('coffee', 'I')",37
,
"('I', 've')",317
,
"('ve', 'ever')",56
,
"('ever', 'had')",59
,
"('had', '')",71
,
"('', '')",9435
,
"('', '')",9435
,
"('Love', 'this')",22
,
"('this', 'place')",363
,
"('place', '')",261
,
"('', '')",9435
,
"('', 'Good')",50
,
"('Good', 'atmosphere')",1
,
"('atmosphere', 'laid')",1
,
"('laid', 'back')",22
,
"('back', 'staff')",1
,
"('staff', '')",72
,
"('', 'A')",81
,
"('A', 'wide')",1
,
"('wide', 'variety')",4
,
"('variety', 'of')",34
,
"('of', 'drinks')",9
,
"('drinks', 'to')",4
,
"('to', 'choose')",16
,
"('choose', 'from')",13
,
"('from', '')",33
,
"('', 'The')",1206
,
"('The', 'Taste')",1
,
"('Taste', 'is')",2
,
"('is', 'a')",243
,
"('a', 'little')",151
,
"('little', 'different')",2
,
"('different', 'from')",6
,
"('from', 'the')",88
,
"('the', 'south')",7
,
"('south', 'location')",1
,
"('location', 'but')",3
,
"('but', 'that')",29
,
"('that', 'is')",38
,
"('is', 'totally')",2
,
"('totally', 'to')",1
,
"('to', 'be')",142
,
"('be', 'expected')",2
,
"('expected', '')",4
,
"('', 'Each')",8
,
"('Each', 'Barista')",1
,
"('Barista', 'has')",1
,
"('has', 'their')",2
,
"('their', 'own')",22
,
"('own', 'spin')",1
,
"('spin', 'on')",1
,
"('on', 'it')",11
,
"('it', '')",287
,
"('', '')",9435
,
"('check', 'in')",423
,
"('in', 'I')",79
,
"('I', 'think')",90
,
"('think', 'I')",21
,
"('I', 've')",317
,
"('ve', 'found')",4
,
"('found', 'my')",5
,
"('my', 'new')",23
,
"('new', 'study')",1
,
"('study', 'place')",5
,
"('place', 'for')",49
,
"('for', 'when')",4
,
"('when', 'I')",102
,
"('I', 'm')",410
,
"('m', 'in')",27
,
"('in', 'town')",57
,
"('town', '')",67
,
"('', 'I')",2231
,
"('I', 'think')",90
,
