word,prob
,
"('Are', 'you')",0.001988072
"('you', 'kidding')",0.001402525
"('kidding', 'me')",0.2
"('has', 'been')",0.136690647
"('been', 'my')",0.014705882
"('favorite', 'coffee')",0.61627907
"('coffee', 'for')",0.006437768
"('for', 'years')",0.005787037
"('and', 'now')",0.002414626
"('now', 'they')",0.027027027
"('they', 'have')",0.140789474
"('have', 'a')",0.407678245
"('location', 'right')",0.052083333
"('near', 'my')",0.173913043
"('my', 'work')",0.00931677
"('I', 'am')",0.044986657
"('going', 'to')",0.803278689
"('to', 'go')",0.063934426
"('This', 'place')",0.177002584
"('place', 'even')",0.001675042
"('nice', 'staff')",0.016806723
"('if', 'you')",0.750877193
"('you', 'have')",0.047685835
"('have', 'never')",0.020109689
"('never', 'tried')",0.036144578
"('there', 'aren')",0.002673797
"('aren', 't')",1.692307692
"('t', 'any')",0.0041841
"('This', 'is')",0.148578811
"('is', 'the')",0.102391629
"('the', 'best')",0.051909629
"('best', 'tasting')",0.016216216
"('tasting', 'coffee')",0.230769231
"('on', 'Burnet')",0.011257036
"('for', 'coffee')",0.043981481
"('Staff', 'is')",0.070063694
"('is', 'super')",0.023916293
"('super', 'friendly')",0.36036036
"('friendly', 'and')",0.460526316
"('no', 'matter')",0.062992126
"('matter', 'how')",0.230769231
"('how', 'many')",0.08045977
"('many', 'people')",0.070175439
"('people', 'are')",0.109489051
"('and', 'the')",0.13038979
"('the', 'half')",0.006455083
"('latte', 'is')",0.064777328
"('is', 'to')",0.011210762
"('to', 'die')",0.007103825
"('die', 'for')",1.444444444
"('some', 'of')",0.253218884
"('of', 'the')",0.312824314
"('best', 'coffee')",0.237837838
"('coffee', 'I')",0.026466381
"('I', 've')",0.120853984
"('ve', 'ever')",0.269230769
"('ever', 'had')",0.702380952
"('Love', 'this')",0.100917431
"('this', 'place')",0.468992248
"('Good', 'atmosphere')",0.002159827
"('laid', 'back')",1.466666667
"('variety', 'of')",1.307692308
"('of', 'drinks')",0.006671609
"('drinks', 'to')",0.031496063
"('to', 'choose')",0.008743169
"('choose', 'from')",0.684210526
"('is', 'a')",0.18161435
"('a', 'little')",0.06525497
"('different', 'from')",0.146341463
"('from', 'the')",0.293333333
"('location', 'but')",0.03125
"('but', 'that')",0.045741325
"('that', 'is')",0.053295933
"('is', 'totally')",0.001494768
